"time","nbAtRisk","Arm"
0,11996,"FOURIER-placebo"
0.246575342465753,11940,"FOURIER-placebo"
0.493150684931507,11880,"FOURIER-placebo"
0.73972602739726,11837,"FOURIER-placebo"
0.986301369863014,11793,"FOURIER-placebo"
1.23287671232877,11742,"FOURIER-placebo"
1.47945205479452,11159,"FOURIER-placebo"
1.72602739726027,9505,"FOURIER-placebo"
1.97260273972603,7535,"FOURIER-placebo"
2.21917808219178,5732,"FOURIER-placebo"
2.46575342465753,3851,"FOURIER-placebo"
0,11926,"FOURIER-evolocumab"
0.246575342465753,11878,"FOURIER-evolocumab"
0.493150684931507,11883,"FOURIER-evolocumab"
0.73972602739726,11782,"FOURIER-evolocumab"
0.986301369863014,11738,"FOURIER-evolocumab"
1.23287671232877,11688,"FOURIER-evolocumab"
1.47945205479452,11138,"FOURIER-evolocumab"
1.72602739726027,9438,"FOURIER-evolocumab"
1.97260273972603,7514,"FOURIER-evolocumab"
2.21917808219178,5689,"FOURIER-evolocumab"
2.46575342465753,3811,"FOURIER-evolocumab"
